Nume,Prenume,CNP,Nota,Optiune
Popescu,Maria,1990512245889,9.5,Facultatea de Drept
Jilavu,Andrei,1880713356788,7.4,Facultatea de Medicina
Popa,Elena,2910824467890,8.2,Facultatea de Informatica
Calin,Alexandru,1920601234567,6.9,Facultatea de Drept
Stanescu,Ana,2900309123456,7.3,Facultatea de Biologie
Dumitrescu,Mihai,1891215789012,8.8,Facultatea de Informatica
Georgescu,Diana,2880418345678,6.5,Facultatea de Drept
Vasilescu,Cristian,1900925901234,9.1,Facultatea de Medicina
Marinescu,Andreea,2871103567890,7.8,Facultatea de Medicina
Diaconu,Radu,1861230123456,9.3,Facultatea de Informatica
Popescu,Ion,1234567890123,7.7,Facultatea de Inginerie Electrica
Ionescu,Maria,2345678901234,8.5,Facultatea de Drept
Georgescu,Andrei,3456789012345,6.8,Facultatea de Medicina
Dumitrescu,Elena,4567890123456,7.6,Facultatea de Informatica
Stan,Cristina,5678901234567,8.9,Facultatea de Medicina
Constantinescu,Dan,6789012345678,6.7,Facultatea de Inginerie Electrica
Vasilescu,Ana,7890123456789,9.2,Facultatea de Biologie
Marinescu,Paul,8901234567890,7.4,Facultatea de Informatica
Radu,Ioana,9012345678901,8.3,Facultatea de Medicina
Chelariu,Adelin,5001127170069,9.1,Facultatea de Informatica
